brand,name,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,price
HP,Victus 15-fb0157AX Gaming Laptop,73.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8,DDR4,512,SSD,4GB AMD Radeon RX 6500M,15.6,1920.0,1080.0,Windows 11 OS,1,49900
HP,15s-fq5007TU Laptop,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,39900
Acer,One 14 Z8-415 Laptop,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8,DDR4,512,SSD,Intel Iris Xe Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,26990
Lenovo,Yoga Slim 6 14IAP8 82WU0095IN Laptop,66.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16,LPDDR5,512,SSD,Intel Integrated Iris Xe,14.0,2240.0,1400.0,Windows 11 OS,1,59729
Apple,MacBook Air 2020 MGND3HN Laptop,69.32352941176471,Apple M1,Octa Core (4P + 4E),8,DDR4,256,SSD,Apple M1 Integrated Graphics,13.3,2560.0,1600.0,Mac OS,1,69990
Acer,Extensa EX214-53 Laptop,62.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8,DDR4,512,SSD,Intel Iris Xe Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,39990
Dell,Inspiron 3520 D560896WIN9B Laptop,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8,DDR4,512,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,36790
Acer,Nitro V ANV15-51 2023 Gaming Laptop,63.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16,DDR5,512,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920.0,1080.0,Windows 11 OS,1,76990
Asus,Vivobook 15 X1502ZA-EJ523WS Laptop,64.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8,DDR4,512,SSD,Intel Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,48990
Samsung,Galaxy Book2 Pro 13 Laptop,68.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16,LPDDR5,512,SSD,Intel Iris Xe Graphics,13.3,1080.0,1920.0,Windows 11 OS,1,74990
Lenovo,V15 G3 IAP 82TTA08AIN Laptop,69.32352941176471,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16,DDR4,512,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,49990
Ultimus,Pro NU14U3INC43BN-CS Laptop,69.32352941176471,Intel Celeron  N4020,"Dual Core, 2 Threads",4,DDR4,128,SSD,Intel Integrated UHD Graphics,14.1,1366.0,768.0,Windows 11 OS,1,10990
Asus,TUF Gaming F15 2022 FX507ZC4-HN116W Gaming Laptop,76.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,72990
Primebook,4G Android Laptop,69.32352941176471,MediaTek MTK8788,Octa Core,4,LPDDR4,64,Hard-Disk,ARM Mali G72,11.6,1366.0,768.0,Android 11 OS,1,10990
Lenovo,V15 G4 ‎82YU00W7IN Laptop,69.32352941176471,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8,LPDDR5,512,SSD,AMD Radeon Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,29990
Asus,TUF Gaming F15 FX506HF-HN024W Gaming Laptop,70.0,11th Gen Intel Core i5 11400H ,"Hexa Core, 12 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,53649
MSI,Modern 14 C11M-031IN Laptop,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8,DDR4,512,SSD,Intel Integrated UHD,14.0,1920.0,1080.0,Windows 11 OS,1,33990
Infinix,Zerobook 2023 Laptop,71.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",32,LPDDR5X,1024,SSD,Intel Integrated Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,79990
HP,Victus 15-fa0666TX Gaming Laptop,65.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920.0,1080.0,Windows 11 OS,1,68990
Lenovo,IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop,71.0,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8,DDR4,512,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920.0,1080.0,Windows 11 OS,1,45990
Asus,Vivobook 16X 2022 M1603QA-MB502WS Laptop,65.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8,DDR4,512,SSD,AMD Radeon Vega 7,16.0,1920.0,1200.0,Windows 11 OS,1,49900
Apple,MacBook Air 2022 Laptop,69.32352941176471,Apple M2,Octa Core (4P + 4E),8,DDR4,256,SSD,8-Core GPU,13.6,2560.0,1664.0,Mac OS,1,104990
Acer,Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop,72.0,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,54990
HP,15s-fq2510tu Laptop,64.0,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",16,DDR4,512,SSD,Intel Iris Xe Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,49580
Asus,Vivobook 16X 2022 M1603QA-MB711WS Laptop,71.0,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",16,DDR4,512,SSD,AMD Radeon Vega 7,16.0,1920.0,1200.0,Windows 11 OS,1,55990
HP,15s-eq2132AU Laptop,63.0,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",16,DDR4,512,SSD,AMD Radeon AMD,15.6,1920.0,1080.0,Windows 11 OS,1,43990
HP,255 G9 840T7PA Laptop,69.32352941176471,3rd Gen AMD Athlon 3050U,"Dual Core, 2 Threads",4,DDR4,256,SSD,AMD Integrated,15.6,1366.0,768.0,DOS OS,1,19850
Acer,Extensa 15 EX215-33 2023 Laptop,69.32352941176471,Intel Core i3 N305,"Octa Core, 8 Threads",8,LPDDR5,512,SSD,Intel Integrated UHD,15.6,1920.0,1080.0,Windows 11 OS,1,28990
Acer,Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop,71.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16,DDR4,512,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920.0,1080.0,Windows 11 OS,1,54999
Dell,Inspiron 3530 Laptop,69.32352941176471,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16,DDR4,512,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,70990
